Name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Essentiality
YMR079W,6.25,1.32,5.59,9.21,5.59,5.92,1.32,4.61,7.89,9.54,2.63,2.96,6.25,3.62,4.61,7.24,3.62,4.93,0.99,5.92,1
YKL149C,3.46,1.23,6.67,6.42,4.2,4.94,3.95,9.14,7.65,8.64,2.47,7.65,4.69,3.7,5.68,6.67,2.96,3.21,3.46,3.21,0
YER013W,4.89,1.05,6.03,7.34,3.32,5.24,1.92,8.56,8.12,7.95,2.71,5.07,4.19,5.15,5.41,7.95,5.07,6.29,0.44,3.32,1
YPR175W,3.48,0.73,6.39,5.66,4.93,5.22,1.89,6.82,5.95,10.45,2.9,6.68,5.81,5.22,4.64,8.85,5.37,5.22,1.31,2.47,1
YBL105C,5.56,2.09,6.26,7.56,4.17,4.78,2.61,6.17,8.51,8.51,2.17,5.04,4.26,6.26,4.87,7.47,6.34,3.74,1.13,2.52,1
YNL112W,5.13,0.92,6.78,5.68,2.75,12.45,1.47,6.59,4.95,6.23,2.2,5.31,4.95,4.76,8.79,5.31,4.95,4.95,1.28,4.58,1
YPL119C,6.16,0.65,6.32,4.86,5.35,10.53,1.78,4.54,5.19,7.62,1.94,7.29,5.19,2.92,7.13,8.1,5.35,5.51,0.81,2.76,0
YDR423C,6.85,2.93,7.09,7.09,1.47,3.91,1.71,6.36,8.56,9.78,1.71,5.62,3.91,5.38,5.38,9.78,6.11,3.67,0.73,1.96,0
YJR090C,3.21,1.82,6.69,5.21,4.52,3.21,2.17,6.95,4.52,11.99,2.52,11.03,3.48,4.87,6.26,6.34,6.17,6.08,0.61,2.35,0
YNL289W,4.66,1.79,6.45,3.23,2.51,2.15,2.15,5.73,5.02,13.98,2.87,7.89,5.02,3.23,7.89,7.89,8.6,4.66,1.43,2.87,0
YPR119W,4.89,1.02,5.09,8.76,4.28,4.07,2.65,6.31,8.15,9.98,2.24,7.13,3.87,4.48,4.68,8.55,4.89,5.3,0.81,2.85,0
YPR065W,3.26,0,2.17,3.8,1.9,1.63,4.35,5.98,7.34,9.51,1.09,8.42,9.51,10.05,3.53,12.77,7.34,3.26,0.82,3.26,0
YOR157C,9.96,1.53,4.98,5.36,2.3,8.05,3.45,6.9,5.75,8.05,1.53,4.98,2.68,4.6,3.07,8.05,6.9,7.28,1.15,3.45,1
YDL230W,4.48,1.49,6.57,4.78,3.28,5.07,3.58,5.97,5.37,6.87,2.99,6.27,5.07,4.48,6.57,5.37,6.57,8.06,2.09,5.07,0
YMR296C,6.45,2.15,4.3,5.91,4.3,4.66,2.15,6.09,6.09,10.39,1.79,5.2,5.38,5.38,2.51,8.42,6.81,7.17,0.54,4.3,1
YML008C,9.4,1.04,6.01,8.62,4.96,7.57,2.09,3.13,7.83,7.05,2.87,4.96,2.87,3.13,4.44,4.7,5.74,6.27,1.31,6.01,0
YKR048C,4.8,0.96,9.35,14.39,4.8,5.04,0.96,5.76,6.71,9.35,0.96,4.56,5.28,6.71,3.36,5.52,4.32,3.84,0.96,2.4,0
YNL007C,5.11,0,5.11,5.11,5.97,15.91,1.42,4.26,8.24,5.97,2.27,3.41,7.95,5.11,3.41,8.81,4.83,3.12,0.28,3.69,1
YML123C,8.86,2.04,4.6,4.77,5.11,9.2,3.07,9.2,4.26,9.88,2.21,3.92,3.24,3.41,3.41,5.96,6.64,5.28,1.53,3.41,0
YMR061W,3.55,1.18,4.87,8.71,5.17,3.25,0.74,5.17,7.98,10.78,2.51,7.98,2.66,5.76,4.43,8.42,5.02,4.14,1.77,5.91,1
YCR038C,5.14,1.09,6.07,4.21,4.21,1.56,3.43,7.32,5.76,13.24,1.4,6.85,2.8,6.23,4.67,6.85,6.39,6.39,1.71,4.67,0
YER111C,3.75,0.64,4.94,5.12,3.02,2.2,2.1,8.05,8.42,7.32,2.38,13.54,4.94,6.68,2.74,11.44,6.31,3.48,0.37,2.56,0
YMR214W,5.31,2.12,6.63,6.63,4.24,13.26,2.39,5.57,9.02,7.16,2.92,3.18,4.77,5.31,4.24,4.24,2.92,5.84,0.27,3.98,0
YCR092C,4.42,1.08,6.29,7.17,4.32,3.83,2.95,7.66,8.35,10.9,2.36,5.8,3.14,3.34,4.62,8.45,5.3,6.29,0.49,3.24,0
YGL012W,5.07,2.54,3.17,3.59,8.25,6.34,3.17,5.92,6.34,10.99,3.17,3.38,4.86,3.17,2.54,3.38,6.13,5.71,4.23,8.03,0
YCR002C,4.97,0.31,5.59,9.01,4.97,4.35,2.48,9.32,4.97,9.32,1.24,5.59,2.8,4.04,6.83,7.45,7.45,5.59,0.62,3.11,0
YCR009C,7.92,1.13,8.68,7.17,3.77,4.91,0.75,6.04,10.19,10.57,1.13,3.4,2.64,6.04,5.28,5.28,4.91,5.28,0.38,4.53,0
YCL032W,3.47,2.02,8.67,5.78,2.02,4.05,2.02,5.2,6.36,9.54,2.89,6.65,4.91,5.78,5.2,10.4,6.36,6.07,1.16,1.45,0
YCR026C,3.5,0.27,9.3,7.55,5.66,5.8,2.96,7.01,4.99,7.28,2.43,7.01,5.66,2.43,2.83,8.09,5.93,5.39,1.89,4.04,0
YCR033W,5.46,0.33,4.81,8.24,2.77,3.59,2.85,4.81,8.81,6.36,1.39,7.5,7.42,3.18,6.04,11.83,6.44,4.49,0.65,3.02,0
YCR035C,6.85,1.27,6.6,9.39,2.28,4.57,1.27,9.14,5.58,10.15,2.03,4.82,3.55,1.78,5.84,8.12,7.36,6.09,0.51,2.79,1
YCL034W,7.34,0.28,8.19,6.21,2.54,5.65,1.69,6.78,4.8,9.6,1.41,5.93,2.26,5.08,7.06,11.86,4.8,2.82,0.28,5.37,0
YCL035C,7.27,1.82,4.55,10.91,1.82,5.45,2.73,8.18,7.27,12.73,1.82,7.27,3.64,4.55,2.73,2.73,4.55,6.36,0,3.64,0
YCL057W,4.35,0.56,7.44,6.18,5.62,4.63,2.39,5.9,8.43,10.53,2.25,7.16,3.93,3.51,2.67,8.57,5.06,4.63,1.69,4.49,0
YCL025C,9.95,1.74,3.95,4.58,6.32,8.85,2.05,8.21,4.27,9.48,2.37,3.48,3.32,3.63,3.79,7.42,4.74,6,1.9,3.95,0
YCR027C,5.74,2.39,5.26,7.66,3.35,6.22,0.96,8.13,6.7,10.53,2.39,5.74,1.91,2.87,5.26,7.66,7.66,6.22,0.48,2.87,0
YLR078C,6.15,0,4.1,6.56,4.1,6.56,1.64,5.74,7.79,10.66,2.05,8.2,1.64,7.38,4.1,8.61,5.33,5.33,0.82,3.28,1
YCL024W,4.15,0.39,6.56,6.85,2.89,4.82,1.93,6.94,9.06,11.09,0.96,7.04,5.01,2.99,5.21,10.8,5.88,4.44,0.58,2.41,0
YDL150W,7.11,0,6.4,11.37,2.84,7.58,1.42,3.55,12.32,7.35,1.9,4.98,3.79,3.08,6.16,9.24,3.55,6.64,0.24,0.47,1
YGL123W,8.27,0.39,2.36,4.72,2.76,11.02,1.18,6.69,7.87,8.27,0.79,3.94,6.3,5.12,7.09,4.72,7.48,8.27,1.18,1.57,1
YER094C,6.83,1.95,6.34,6.83,5.85,8.78,0.98,6.83,6.34,9.27,2.44,3.41,3.41,2.44,3.9,7.8,4.88,7.32,0.49,3.9,1
YNL064C,7.33,2.69,6.85,9.05,4.65,12.22,1.71,6.85,10.02,4.89,1.47,2.44,5.62,3.42,4.65,3.91,3.18,6.11,0.24,2.69,0
YCL010C,5.02,1.16,5.79,10.04,2.7,6.56,1.16,3.09,6.56,9.27,1.93,6.56,5.79,3.09,6.95,5.41,6.18,8.11,1.16,3.47,0
YCL011C,4.45,1.41,8.9,7.73,5.85,10.3,1.17,3.98,3.98,5.39,2.11,7.26,3.75,2.81,11.71,6.32,3.98,5.15,0.47,3.28,0
YCL052C,2.4,1.2,7.21,7.69,4.81,5.29,2.4,6.01,6.25,10.82,1.92,5.05,4.81,2.64,5.77,7.93,6.73,6.01,1.2,3.85,1
YCL054W,6.3,0.71,8.68,9.75,3.09,5.11,1.55,6.18,13.32,7.25,2.97,5.11,2.97,3.45,5.47,5.47,4.4,5.23,0.95,2.02,1
YCL059C,5.7,1.27,5.7,9.81,4.11,2.85,1.27,6.01,12.66,7.91,3.16,5.06,5.7,3.48,7.28,3.48,4.43,6.33,1.27,2.53,1
YCL063W,4.73,1.18,5.44,6.62,4.26,2.36,1.89,5.2,6.15,8.75,1.89,7.33,5.91,6.62,6.86,13.71,6.15,3.55,0.24,1.18,0
YCL008C,5.71,0.52,6.49,4.42,2.6,2.6,3.9,7.27,3.12,10.39,3.38,5.71,9.61,6.75,3.9,7.79,6.23,6.23,1.3,2.08,0
YCL009C,8.09,1.94,4.21,7.44,1.94,4.21,3.24,5.18,3.24,11,2.27,4.21,5.5,3.88,6.8,10.03,6.47,8.41,0.32,1.62,0
YCR010C,10.6,1.06,3.53,3.89,8.13,10.6,1.41,4.95,2.47,11.66,1.77,6.01,4.24,2.12,2.47,5.65,6.01,6.71,1.77,4.95,0
YCR017C,6.61,0.94,4.3,4.3,6.82,6.93,2.62,7.66,3.57,11.23,2.52,3.57,4.3,2.62,3.25,7.35,6.61,6.72,2.41,5.67,0
YCR030C,6.32,0.34,3.91,6.44,3.56,3.79,1.95,5.52,6.32,8.39,1.03,7.13,6.9,5.29,4.6,13.33,7.59,4.83,0.8,1.95,0
YCR047C,6.55,1.45,6.91,5.82,4.36,8.73,1.45,4.36,9.09,10.55,2.91,3.64,4,5.09,6.18,7.64,3.64,4.36,0.73,2.55,0
YCR057C,6.28,0.87,8.13,6.61,6.5,5.74,1.95,5.96,5.63,8.13,1.41,5.85,2.71,3.68,4.77,9.32,5.63,6.93,1.52,2.38,1
YCR059C,8.14,0.78,9.3,8.53,4.65,5.04,3.88,5.04,3.88,6.98,3.49,1.55,4.26,4.26,3.88,6.98,6.2,8.91,1.55,2.71,0
YCR077C,6.28,0,5.15,5.53,3.77,6.41,1.38,6.91,5.9,9.55,3.14,5.9,6.78,7.54,4.65,9.55,4.65,3.77,0.5,2.64,0
YCR093W,5.88,0.62,5.27,6.02,5.46,2.75,1.61,7.73,6.36,13.05,2.09,5.93,4.13,6.17,3.98,7.54,5.88,6.36,0.9,2.28,1
YCR094W,4.35,1.53,6.14,5.63,5.63,4.86,2.05,8.44,8.44,8.44,1.79,5.63,6.14,3.84,3.58,6.39,7.16,3.84,1.53,4.6,0
YDL127W,4.55,0.97,4.22,5.19,3.25,1.3,1.95,9.09,9.42,10.39,1.62,7.79,4.87,1.95,5.52,12.34,8.12,3.25,0.97,3.25,0
YDL126C,9.7,0.48,8.26,8.74,3.35,7.07,1.32,6.11,5.87,8.26,2.75,5.03,4.91,2.4,6.11,4.79,4.67,7.66,0.36,2.16,1
YML078W,6.59,1.1,4.95,6.04,7.69,12.09,1.65,7.14,8.79,4.95,2.2,4.95,4.4,2.2,3.85,6.04,5.49,6.59,1.1,2.2,0
YFL002C,5.12,0.99,5.94,7.43,5.12,4.29,0.99,5.94,9.74,10.56,2.48,5.12,3.96,2.81,5.78,6.77,6.11,7.26,0.99,2.64,1
YHR120W,5.32,1.46,4.9,7.19,5.21,4.9,1.88,6.67,8.13,11.47,1.88,5.53,2.5,4.48,5.53,8.03,6.57,4.9,0.73,2.71,0
YOL090W,5.39,1.35,6.02,8.09,3.42,4.67,2.8,7.37,8.82,12.34,1.97,5.5,3.32,3.63,3.01,7.26,4.77,6.74,0.73,2.8,0
YGR087C,7.99,0.18,4.97,5.68,4.26,7.46,2.13,6.75,6.93,11.37,0.89,4.97,4.62,4.09,2.13,6.75,7.1,7.46,1.24,3.02,0
YPL131W,10.77,0.34,6.4,9.09,4.71,6.73,2.02,4.71,7.41,7.74,0.67,1.35,3.37,4.04,7.41,5.39,7.07,4.38,0.67,5.72,1
YDL170W,4.17,2.46,6.06,7.01,4.73,3.41,2.46,9.85,8.52,12.69,2.27,5.87,2.84,4.55,3.6,7.77,3.22,3.6,0.76,4.17,0
YMR055C,4.58,1.96,5.88,2.94,4.9,3.27,0.98,7.52,5.23,14.05,2.94,3.92,6.21,5.88,5.23,8.5,6.21,4.58,0.98,4.25,0
YML016C,3.61,1.73,6.36,4.77,3.76,4.05,3.47,4.19,6.94,7.37,1.59,9.1,5.2,3.03,5.06,15.9,5.49,4.62,0.58,3.18,0
YNL312W,4.76,2.2,6.23,6.59,5.49,8.42,2.56,6.23,5.49,6.23,1.1,7.33,3.66,5.86,2.2,9.16,6.96,6.59,0.37,2.56,1
YJL173C,4.1,2.46,4.92,9.02,4.1,3.28,0,9.02,5.74,9.02,2.46,8.2,4.92,4.1,4.1,9.02,4.92,7.38,0.82,2.46,1
YJR123W,10.67,0.44,4.44,8.89,3.11,4.44,0.89,7.56,6.67,6.22,1.33,5.78,4,4.89,7.56,4,7.11,10.22,0.44,1.33,1
YIL133C,12.06,0,2.51,5.03,4.52,6.53,2.01,2.51,13.07,9.05,1.01,2.51,4.02,2.01,8.04,5.53,4.02,11.06,0.5,4.02,0
YNL069C,11.62,0,3.54,4.04,4.55,5.56,2.02,4.04,13.13,8.59,1.01,2.02,4.04,2.53,8.59,7.07,4.04,9.09,0.51,4.04,0
YOR096W,6.84,0,3.68,7.89,4.74,3.68,2.11,6.32,10,11.05,0.53,1.58,5.79,7.37,6.84,6.32,4.74,8.95,0,1.58,0
YKL113C,6.54,1.83,4.71,9.69,3.4,6.54,1.83,7.07,11.52,9.69,2.62,3.14,3.93,3.4,5.5,5.76,4.97,4.71,0.79,2.36,0
YJR005W,4.57,0.86,5.57,7.71,3.86,1.86,1.86,7.43,7.43,14.43,2.43,5.71,4.71,3.29,4.71,8,4.71,7.14,0.57,3.14,0
YFR014C,6.28,1.12,7.4,9.19,3.59,5.38,1.79,4.71,11.43,10.99,0.9,3.36,4.04,3.81,3.59,7.4,4.93,6.28,0.9,2.91,0
YLR258W,7.38,0.99,7.38,6.24,5.11,6.52,3.4,4.82,5.25,9.93,1.99,5.11,4.4,2.84,6.24,4.96,4.82,7.38,1.13,4.11,0
YGR159C,5.8,0.24,6.52,13.77,3.86,10.14,0.72,2.66,9.18,2.42,0.97,4.11,3.14,1.69,5.8,20.53,3.62,2.9,0.48,1.45,1
YNR013C,6.26,1.12,3.91,3.36,5.26,4.14,2.24,8.5,4.81,11.74,3.36,6.15,4.7,4.59,2.8,10.85,6.38,6.15,1.45,2.24,0
YJL172W,5.9,0.69,6.25,7.81,5.21,6.6,4.51,7.99,5.9,9.2,0.87,5.21,6.42,1.39,3.12,7.12,4.86,6.08,1.04,3.82,0
YAR015W,6.21,0.33,6.86,8.5,3.59,6.21,1.96,7.19,9.48,9.48,0.98,2.94,4.25,2.94,3.92,6.54,6.21,6.86,1.63,3.92,0
YAR014C,4.94,0.42,11.71,9.59,2.96,4.65,2.26,3.95,6.21,6.06,1.83,7.05,4.23,3.53,3.53,14.39,4.51,4.65,0.56,2.96,0
YBR067C,20,0,3.81,4.76,2.38,3.81,0.48,4.29,2.38,7.14,0.95,1.9,3.33,2.38,0.95,23.33,8.1,7.14,0.48,2.38,0
YOL096C,3.21,2.88,6.09,7.05,4.49,5.13,2.88,7.05,6.73,9.94,3.53,5.13,3.21,4.81,5.77,5.77,5.13,6.41,2.24,2.56,0
YML010W,7.34,0.28,8.65,7.15,2.16,10.25,1.41,5.17,6.87,5.08,1.51,5.46,3.67,4.52,5.64,8.56,6.96,5.74,1.41,2.16,1
YLR148W,2.29,1.31,6.21,6.64,4.9,2.61,2.18,9.59,9.69,13.51,2.4,9.59,2.51,2.83,2.61,6.21,5.77,4.47,2.07,2.61,0
YDR483W,7.24,1.81,5.88,8.6,5.88,4.07,2.26,5.2,8.14,7.24,1.58,6.11,4.52,2.94,2.94,7.69,4.52,4.3,2.71,6.33,0
YOR099W,6.11,1.78,7.12,6.36,7.12,5.09,3.82,5.6,7.63,6.36,2.04,3.56,4.83,1.27,4.33,7.89,4.33,5.09,2.8,6.87,0
YEL061C,4,0.9,5.3,7.2,3.1,3.6,1.9,7.1,9.5,9.1,3.3,10.9,1.9,5.2,3.4,10.1,6.9,4.3,0.1,2.2,0
YNL113W,4.23,1.41,8.45,15.49,2.11,4.23,2.11,6.34,7.75,7.04,3.52,2.82,4.23,6.34,2.11,4.93,9.15,5.63,0,2.11,1
YAL032C,9.23,0.26,5.8,7.65,2.37,4.22,2.11,3.96,8.97,7.65,1.85,7.12,5.28,5.01,6.33,8.18,4.49,6.33,0.53,2.64,1
YHR089C,3.9,1.46,2.93,3.41,7.8,24.39,0.49,3.9,6.83,3.9,1.46,2.93,6.34,1.95,12.2,7.8,2.93,3.9,0,1.46,1
YER065C,10.23,1.08,6.82,6.82,4.31,6.46,3.05,5.57,7.18,7.18,3.05,3.41,3.95,4.49,4.67,6.1,5.39,5.57,1.97,2.69,0
YEL012W,2.29,0.46,15.6,7.8,2.29,5.96,1.83,6.42,6.42,8.26,3.21,5.5,4.59,3.21,1.83,10.55,2.75,5.5,1.38,4.13,0
YKL216W,6.37,0.96,4.14,7.64,6.37,8.28,0.96,7.32,7.96,9.24,2.55,7.01,5.41,2.23,2.87,6.05,5.41,5.41,0,3.82,0
YBL039C,5.18,1.38,6.04,8.29,3.28,8.29,3.45,6.91,7.77,9.5,2.94,3.45,3.97,2.59,3.63,5.18,6.04,7.94,1.04,3.11,0
YKL096W,12.97,0,7.11,4.6,4.18,8.37,0.84,4.6,5.86,5.44,1.26,2.09,1.67,2.51,0.84,21.76,6.69,5.86,0,3.35,0
YKL094W,4.47,1.28,6.07,4.79,6.07,8.95,3.83,6.07,8.31,7.67,3.19,5.11,5.75,4.15,3.51,5.11,5.43,4.47,0.96,4.79,0
YKL008C,5.02,0.96,4.78,3.11,8.37,3.83,2.39,7.89,5.98,10.29,2.87,3.83,3.35,2.63,5.5,8.13,7.18,5.98,2.39,5.5,0
YKL117W,7.87,0.46,9.26,10.65,2.31,9.26,2.78,4.63,7.87,6.02,4.63,3.24,4.63,6.02,1.39,5.09,3.24,5.09,1.39,4.17,0
YKL116C,4.44,1.74,6.56,6.56,3.28,3.47,1.54,6.18,5.79,11,2.12,5.41,6.95,3.47,5.79,9.65,5.79,5.41,1.35,3.47,0
YGR028W,5.8,0.83,8.56,5.25,3.31,5.25,0.55,7.46,7.73,13.54,2.76,3.31,4.14,2.76,4.97,10.22,5.8,4.42,0.83,2.49,0
YGL148W,7.45,1.33,5.32,6.65,4.52,9.57,2.13,6.38,6.38,5.32,2.93,3.46,5.59,3.46,5.85,8.24,6.38,6.91,0,2.13,0
YDR498C,5.74,1.31,7.05,7.57,4.18,2.35,2.35,4.7,8.36,13.32,1.04,3.92,1.57,5.22,4.18,10.18,4.96,7.83,1.57,2.61,1
YLR286C,10.32,2.14,4.8,3.74,4.45,5.69,0.36,4.09,3.91,9.07,0.53,4.09,2.49,4.45,0.71,16.73,14.41,3.38,1.07,3.56,0
YPR086W,6.67,2.9,6.09,6.67,2.61,6.67,1.45,7.54,10.43,8.99,2.9,4.93,3.77,2.61,4.64,5.8,6.67,6.38,0.29,2.03,1
YGR246C,9.06,1.51,6.04,9.73,3.69,4.87,2.52,4.36,9.23,8.89,1.51,5.54,2.35,3.52,5.87,7.38,5.37,6.21,0.5,1.85,1
YPL204W,4.25,1.01,4.86,5.47,4.45,5.67,2.83,5.26,6.68,9.51,2.63,6.28,5.87,8.7,6.48,7.09,4.05,3.44,0.81,4.66,1
YER177W,9.74,0.75,5.24,11.61,1.87,3,2.25,4.87,6.37,8.99,2.25,2.62,3,6.74,4.12,11.61,5.62,4.12,0.75,4.49,0
YBR200W,5.26,0.73,6.72,5.44,4.17,5.81,1.27,5.99,9.8,7.8,1.09,5.99,3.81,4.36,3.45,10.89,6.35,6.17,0.91,3.99,1
YLL045C,13.67,0.39,3.91,5.08,2.73,5.08,1.17,4.69,14.45,8.2,1.17,4.69,5.86,3.52,4.3,4.69,5.47,7.03,0.78,3.12,0
YOR208W,2.93,2.53,6.13,3.33,4.4,2.4,1.87,7.33,9.33,11.6,1.6,10.13,5.87,4.8,3.07,9.33,5.47,3.73,0.93,3.2,0
YBR023C,5.06,1.89,7.21,4.64,4.81,5.32,1.97,6.27,7.12,8.76,2.58,5.06,4.72,3,3.95,9.01,6.27,6.87,1.97,3.52,0
YKR002W,6.69,1.41,6.34,7.04,5.11,4.75,1.76,6.69,8.45,8.8,1.58,5.28,4.75,2.99,5.28,6.16,5.11,7.57,1.23,2.99,1
YBL023C,5.99,1.04,7.95,9.91,2.88,5.3,1.96,6.34,4.38,8.41,2.07,4.95,4.15,3.69,8.87,7.83,4.15,6.8,0.35,3,1
YDR353W,11.29,1.25,4.7,7.52,3.45,9.09,1.57,6.9,7.52,7.52,2.82,3.13,4.08,2.51,3.13,5.96,8.78,5.33,0.63,2.82,1
YPL048W,9.88,0.48,7.47,5.54,4.82,4.34,0.72,3.61,10.36,8.19,1.93,5.78,6.02,2.65,3.37,5.3,5.06,7.23,2.65,4.58,0
YKL019W,5.7,1.27,8.23,6.65,4.11,1.58,2.85,6.96,5.38,12.34,2.53,5.38,4.75,3.16,4.43,6.96,3.8,4.43,3.48,6.01,1
YHR190W,4.73,1.8,6.08,7.43,4.95,3.6,3.15,7.21,6.53,14.41,2.48,4.95,3.6,4.05,4.05,4.73,4.5,5.86,0.68,5.18,1
YER003C,7.46,1.17,7.23,7.23,5.83,5.59,2.56,6.06,8.62,8.39,2.33,5.13,6.53,4.43,3.5,6.99,3.03,4.9,0.47,2.56,1
YPR120C,7.13,1.38,5.98,7.82,3.91,2.76,2.3,6.21,7.59,9.2,2.76,7.82,3.45,4.14,5.75,7.36,3.91,5.06,1.15,4.37,1
YDR497C,7.53,1.54,3.42,4.62,6.34,8.73,1.37,10.27,4.11,9.08,2.23,3.6,3.25,3.42,3.25,8.39,7.53,7.36,1.37,2.57,0
YDR164C,5.39,0.69,6.35,6.91,5.8,3.18,2.49,8.56,7.87,10.08,1.1,6.77,5.66,4.28,5.11,6.77,4.14,4.97,0.41,3.45,1
YMR137C,2.72,2.12,5.45,7.26,4.69,2.87,3.03,7.11,8.77,7.87,2.27,7.56,3.33,3.03,4.39,9.23,8.02,6.05,1.21,3.03,0
YOR317W,6.14,1.86,5.43,6.14,3.43,7.86,2.29,6.71,8.86,9,1.86,5.29,3.57,3.43,2.86,6.14,6.14,7.71,1.43,3.86,0
YPR103W,8.71,1.74,5.92,5.23,4.18,9.41,2.44,5.57,4.88,8.01,1.39,4.18,2.79,4.53,4.53,7.67,5.57,6.97,2.09,4.18,1
YFR050C,8.65,0,6.39,4.14,3.01,7.14,1.13,6.77,4.51,7.89,3.38,7.52,4.14,3.76,4.89,6.77,6.02,7.89,1.13,4.89,1
YMR080C,6.08,1.96,5.66,6.8,4.02,5.46,2.27,5.56,6.18,10.2,1.44,5.87,4.53,5.15,5.05,8.24,4.63,6.69,1.34,2.88,0
YGR218W,5.9,1.11,5.44,7.38,4.89,3.14,1.85,7.38,6.64,11.9,2.77,5.17,3.23,5.81,3.51,6.64,5.63,7.47,1.11,3.04,1
YNL117W,6.5,1.08,5.6,5.96,3.79,5.42,2.53,7.04,6.5,9.93,2.71,7.04,5.96,3.25,4.69,4.15,6.68,6.32,1.44,3.43,0
YAL030W,9.4,0.85,6.84,6.84,2.56,3.42,1.71,8.55,6.84,7.69,4.27,4.27,3.42,3.42,7.69,7.69,3.42,8.55,0.85,1.71,0
YDR285W,3.43,0.8,5.49,11.2,2.17,2.74,2.06,5.37,12.57,9.6,1.83,8.34,1.94,6.51,3.43,10.51,6.17,4.34,0,1.49,0
YJR139C,9.47,0,6.13,5.01,4.46,6.69,0.84,6.96,8.91,8.91,0.56,3.9,4.18,1.95,2.23,9.47,6.96,10.03,0.56,2.79,0
YBR114W,4.18,2.03,6.96,6.71,4.3,4.05,2.41,6.46,8.48,9.11,2.28,6.46,3.54,4.56,6.2,6.33,6.33,5.7,1.14,2.78,0
YAL012W,10.41,0,5.33,5.33,3.55,7.11,3.55,6.09,5.58,10.15,0.76,5.58,4.31,3.81,3.3,7.36,7.11,7.61,0.51,2.54,1
YAL017W,4.42,0.88,7.08,7.15,4.5,4.42,2.58,6.56,7.52,10.47,1.84,6.27,5.38,2.88,3.83,10.84,5.53,4.87,0.59,2.36,0
YAL011W,5.92,0.48,6.4,11.04,2.24,2.88,1.44,4.48,13.6,7.36,3.04,4.48,4.64,5.12,6.4,7.52,4.96,4.8,0.96,2.24,0
YAL014C,2.35,0.78,9.02,6.67,1.96,2.75,1.57,4.71,5.1,16.47,1.57,7.84,4.31,8.63,4.71,8.63,3.92,7.06,0,1.96,0
YAL015C,3.76,1.25,5.26,7.52,1.5,4.76,1.25,7.02,9.02,10.53,3.01,3.51,5.76,5.51,4.26,6.52,6.02,8.27,2.51,2.76,0
YAL019W,5.84,0.62,9.2,7.52,3.45,3.36,1.95,5.66,9.02,9.11,1.95,7.25,4.42,4.07,4.42,8.4,5.57,4.86,0.53,2.83,0
YAL023C,5.93,1.45,4.74,3.95,6.72,6.59,2.77,5.14,4.48,10.41,3.16,4.87,4.61,2.9,4.35,8.83,4.87,6.19,3.56,4.48,0
YAL016W,8.35,1.1,8.35,6.14,4.25,2.68,0.63,7.4,5.51,14.33,1.42,5.51,3.31,4.25,3.62,7.87,4.57,7.72,1.1,1.89,0
YAL021C,6.09,1.08,5.97,4.18,4.78,5.26,3.11,4.06,6.21,10.99,2.63,8.84,5.5,7.29,2.99,6.57,6.09,4.06,1.19,3.11,0
YAL013W,6.17,1.48,8.15,13.58,1.73,2.22,2.47,5.19,6.91,9.14,2.22,5.93,4.44,5.68,4.94,6.42,5.43,3.46,0.49,3.95,0
YKL080W,7.91,0.26,5.36,7.14,5.36,3.32,1.79,7.14,8.67,10.2,1.02,6.12,4.08,3.32,3.06,8.16,5.61,7.14,0.77,3.57,0
YLL026W,8.48,0.66,7.49,9.03,2.86,5.29,1.65,7.6,7.71,10.68,1.65,4.07,3.3,5.73,5.95,5.62,4.41,5.4,0,2.42,0
YDR074W,4.91,1.23,6.58,5.92,3.68,4.58,2.01,4.91,8.26,9.82,2.01,5.58,4.13,5.02,4.8,7.48,6.03,7.03,2.34,3.68,0
YGL038C,3.96,0.21,7.92,3.75,4.58,3.54,2.29,7.29,7.92,9.17,2.5,6.46,6.25,4.38,3.75,10.62,4.79,4.58,2.29,3.75,0
YNL287W,6.74,1.18,6.31,7.38,5.24,2.67,1.5,7.27,6.31,11.87,1.28,6.2,3.64,3.74,3.74,10.37,5.67,6.2,0.21,2.46,1
YOL064C,7.28,1.68,7.84,5.32,3.64,8.12,3.08,7,7,9.8,0.84,4.48,2.52,3.36,3.92,8.4,5.04,7,0.84,2.8,0
YNL236W,4.62,1.44,4.72,5.03,5.54,3.29,2.05,7.7,7.6,10.06,2.16,6.47,4.72,4.72,3.39,9.86,6.37,5.24,1.33,3.7,0
YOR211C,5.45,0.79,6.7,7.15,3.06,4.2,2.04,6.81,9.42,12.37,2.5,5.33,3.41,3.06,4.43,10.1,5.11,5.11,0.34,2.61,0
YPR035W,8.11,1.89,6.22,7.3,3.51,9.46,2.97,6.49,5.68,5.41,3.24,4.05,4.86,3.24,5.95,5.68,4.32,4.05,1.89,5.68,1
YBL015W,7.6,0.76,6.46,6.27,4.18,6.46,3.8,6.27,6.46,8.37,2.47,5.7,6.46,2.66,4.94,5.32,5.13,7.22,0.95,2.47,0
YBL017C,4.56,2.34,8.3,7.28,6.27,7.09,1.52,6.21,6.9,6.84,1.77,5.83,3.61,2.66,3.42,8.3,7.09,5,1.08,3.93,0
